email_id,true_label,source,phishing_characteristics,phishing_persuasion,phishing_final_assessment,etiquette,content,personalization,personalization_persuasion
0,1,Nazario,1,1,1,0,0,1.0,0.0
1,1,Nazario,1,1,1,0,0,1.0,0.0
2,1,Nazario,1,1,1,0,0,1.0,0.0
3,1,Nazario,0,0,0,1,1,1.0,1.0
4,1,Nazario,0,0,0,1,1,1.0,1.0
5,1,Nazario,1,1,1,0,0,1.0,0.0
6,1,Nazario,0,0,0,1,1,1.0,1.0
7,1,Nazario,1,1,1,0,0,1.0,0.0
8,1,Nazario,1,1,1,0,0,1.0,0.0
9,1,Nazario,0,0,0,1,1,1.0,1.0
10,1,Nazario,0,0,0,1,1,1.0,1.0
11,1,Nazario,1,1,1,0,0,1.0,0.0
12,1,Nazario,0,0,0,1,1,1.0,1.0
13,1,Nazario,0,0,0,1,1,1.0,1.0
14,1,Nazario,1,1,1,0,0,1.0,0.0
15,1,Nazario,0,0,0,1,1,1.0,1.0
16,1,Nazario,0,0,0,1,1,1.0,0.0
17,1,Nazario,0,0,0,1,1,1.0,1.0
18,1,Nazario,0,0,0,1,1,1.0,1.0
19,1,Nazario,0,0,0,1,1,1.0,1.0
20,1,Nazario,0,0,0,1,1,1.0,1.0
21,1,Nazario,0,0,0,1,1,1.0,1.0
22,1,Nazario,1,1,1,0,0,1.0,0.0
23,1,Nazario,1,1,1,0,0,0.0,0.0
24,1,Nazario,1,1,1,0,0,1.0,0.0
25,1,Nazario,1,1,1,0,0,1.0,0.0
26,1,Nazario,1,1,1,0,0,0.0,0.0
27,1,Nazario,1,1,1,0,0,1.0,0.0
28,1,Nazario,0,0,0,1,1,1.0,1.0
29,1,Nazario,1,1,1,0,0,1.0,0.0
30,1,Nazario,0,0,0,1,1,1.0,1.0
31,1,Nazario,0,0,0,1,1,1.0,1.0
32,1,Nazario,0,0,0,1,1,1.0,1.0
33,1,Nazario,0,0,0,1,1,1.0,1.0
34,1,Nazario,0,0,0,1,1,1.0,1.0
35,1,Nazario,0,0,0,1,1,1.0,1.0
36,1,Nazario,0,0,0,1,1,1.0,1.0
37,1,Nazario,1,1,1,0,0,1.0,0.0
38,1,Nazario,1,1,1,0,0,0.0,0.0
39,1,Nazario,1,1,1,0,0,0.0,0.0
40,1,Nazario,0,0,0,1,1,1.0,1.0
41,1,Nazario,1,1,1,0,0,1.0,0.0
42,1,Nazario,0,0,0,1,1,1.0,1.0
43,1,Nazario,0,0,0,1,1,1.0,1.0
44,1,Nazario,0,0,0,1,1,1.0,1.0
45,1,Nazario,1,1,1,0,0,1.0,0.0
46,1,Nazario,0,0,0,1,1,1.0,1.0
47,1,Nazario,0,0,0,1,1,1.0,1.0
48,1,Nazario,1,1,1,0,0,0.0,0.0
49,1,Nazario,0,0,0,1,1,1.0,1.0
50,1,Nazario,0,0,0,1,1,1.0,1.0
51,1,Nazario,0,0,0,1,1,1.0,1.0
52,1,Nazario,0,0,0,1,1,1.0,1.0
53,1,Nazario,0,0,0,1,1,1.0,1.0
54,1,Nazario,0,0,0,1,1,1.0,1.0
55,1,Nazario,1,0,1,1,0,1.0,0.0
56,1,Nazario,0,0,0,1,1,1.0,1.0
57,1,Nazario,0,0,0,1,1,1.0,1.0
58,1,Nazario,0,0,0,1,1,1.0,1.0
59,1,Nazario,1,1,1,0,0,1.0,0.0
60,1,Nazario,0,0,0,1,1,1.0,1.0
61,1,Nazario,1,1,1,0,0,1.0,0.0
62,1,Nazario,0,0,0,1,1,1.0,1.0
63,1,Nazario,1,1,1,0,0,0.0,0.0
64,1,Nazario,0,0,0,1,1,1.0,1.0
65,1,Nazario,0,0,0,1,1,1.0,1.0
66,1,Nazario,0,0,0,1,1,1.0,1.0
67,1,Nazario,0,0,0,1,1,1.0,1.0
68,1,Nazario,0,0,0,1,1,1.0,1.0
69,1,Nazario,0,0,0,1,1,1.0,1.0
70,1,Nazario,1,1,1,0,0,1.0,0.0
71,1,Nazario,0,0,0,1,1,1.0,1.0
72,1,Nazario,1,1,1,0,0,1.0,0.0
73,1,Nazario,0,0,0,1,1,1.0,1.0
74,1,Nazario,0,0,0,1,1,1.0,1.0
75,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
76,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
77,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
78,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
79,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
80,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
81,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
82,1,Nigerian Fraud,0,0,0,1,1,1.0,1.0
83,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
84,1,Nigerian Fraud,0,0,0,1,1,1.0,1.0
85,1,Nigerian Fraud,0,0,0,1,1,0.0,0.0
86,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
87,1,Nigerian Fraud,0,0,0,1,1,1.0,1.0
88,1,Nigerian Fraud,0,0,0,1,1,1.0,1.0
89,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
90,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
91,1,Nigerian Fraud,0,0,0,1,1,1.0,1.0
92,1,Nigerian Fraud,0,0,0,1,1,1.0,1.0
93,1,Nigerian Fraud,0,0,0,1,1,1.0,1.0
94,1,Nigerian Fraud,1,1,1,0,0,0.0,0.0
